,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
49,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,3,250,Mean,10,0.00573412,-0.001179796,0.00673101,-0.033652471,0.03938659,-0.012121212,0,0
50,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,6,250,Mean,10,0.018597565,0.017259503,0.016964636,0.00438026,0.014217305,0.003030303,0,0
51,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,8,250,Mean,10,0.019657014,0.025788695,0.015706081,0.033192916,-0.013535902,0.012121212,0,0
52,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,10,250,Mean,10,0.02700585,0.032474357,0.020479712,-0.000569511,0.027575361,-0.002020202,0,0
53,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,12,250,Mean,10,0.029356362,0.030033133,0.02155593,0.026652063,0.0027043,0.008080808,0,0
54,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,15,250,Mean,10,0.035161529,0.045074519,0.02345928,0.012826327,0.022335201,0.004040404,0,0
55,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,20,250,Mean,10,0.040968179,0.052476592,0.026927806,0.036468362,0.004499817,0.013131313,0,0
56,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,25,250,Mean,10,0.045296249,0.051951809,0.026991417,0.056256606,-0.010960358,0.021212121,0,0
57,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,3,250,SD,10,0.022627741,0.022348854,0.010033378,0.133207808,0.124838477,0.038033727,0,0
58,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,6,250,SD,10,0.030782579,0.028796435,0.012133362,0.085382598,0.081052732,0.027785429,0,0
59,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,8,250,SD,10,0.030682142,0.028048923,0.0092978,0.071162554,0.074559037,0.023229883,0,0
60,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,10,250,SD,10,0.016690211,0.011231317,0.00639632,0.047633211,0.054714757,0.021716519,0,0
61,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,12,250,SD,10,0.019670306,0.021052406,0.007124271,0.028831091,0.037252872,0.014906359,0,0
62,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,15,250,SD,10,0.013710318,0.015646823,0.00712601,0.068204279,0.069733738,0.029429998,0,0
63,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,20,250,SD,10,0.017098489,0.015916934,0.005341401,0.040401537,0.042534317,0.020230059,0,0
64,MaxentAll_RSFSAAIC,Random10FinalDiffTestTrain,Random10,10_AllVariables,25,250,SD,10,0.011665816,0.017020433,0.004982889,0.055249635,0.054687468,0.027948156,0,0
65,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,3,250,Mean,10,0.263647155,0.246866579,0.667799993,0.627798098,0.635849057,0.501010101,21974.42577,25.7
66,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,6,250,Mean,10,0.379655717,0.353574869,0.752522771,0.671250914,0.708404803,0.467676768,21795.00793,51
67,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,8,250,Mean,10,0.412637883,0.389661564,0.773199316,0.716239941,0.696397942,0.464646465,21708.13207,51.6
68,MaxentAll_RSFSAAIC,Random10FinalTest,Random10,10_AllVariables,10,250,Mean,10,0.46308,0.441366654,0.800435153,0.743525969,0.719554031,0.449494949,21625.11294,66.8
