,Model,DataType,Set,SetName,SubsetVariableNumber,TotSubsets,Statistic,N,TSS,Kappa,AUC,Spec,Sens,ThreshMxTSS,AICc_bg,NumDVars
49,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,3,250,Mean,10,0.004150117,-0.001163001,0.007430271,-0.028056315,0.032206432,-0.01010101,0,0
50,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,6,250,Mean,10,0.011568615,0.017216105,0.014852908,0.012685669,-0.001117054,0.007070707,0,0
51,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,8,250,Mean,10,0.035673459,0.03153385,0.024948212,-0.011454463,0.047127922,-0.009090909,0,0
52,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,10,250,Mean,10,0.026034073,0.031824156,0.02203296,0.02511074,0.000923333,0.01010101,0,0
53,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,12,250,Mean,10,0.034899085,0.038979443,0.025706809,0.016766064,0.018133021,0.003030303,0,0
54,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,15,250,Mean,10,0.030350836,0.040999213,0.023838395,0.027130193,0.003220643,0.01010101,0,0
55,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,20,250,Mean,10,0.050490023,0.05990007,0.027972024,0.055081262,-0.004591239,0.02020202,0,0
56,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,25,250,Mean,10,0.048608836,0.05608464,0.027727101,0.046164398,0.002444438,0.018181818,0,0
57,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,3,250,SD,10,0.030950673,0.016384032,0.013358304,0.076636399,0.086596508,0.027765021,0,0
58,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,6,250,SD,10,0.019456788,0.022722605,0.009501759,0.060081365,0.049011046,0.021321401,0,0
59,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,8,250,SD,10,0.016675322,0.014036344,0.008663294,0.068205533,0.068803368,0.026275573,0,0
60,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,10,250,SD,10,0.017430037,0.021719827,0.006388738,0.061413507,0.059896562,0.025642334,0,0
61,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,12,250,SD,10,0.024338042,0.025122883,0.010188358,0.061913896,0.062226787,0.026102421,0,0
62,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,15,250,SD,10,0.024150805,0.023857975,0.009125464,0.035968888,0.031913396,0.017168416,0,0
63,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,20,250,SD,10,0.009709896,0.006568656,0.003984446,0.047121428,0.047883666,0.021294799,0,0
64,MaxentAll_RSFSAAUC,Random10FinalDiffTestTrain,Random10,10_AllVariables,25,250,SD,10,0.011339493,0.010262767,0.0045904,0.042915087,0.042552979,0.025106198,0,0
65,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,3,250,Mean,10,0.337186512,0.31324452,0.717908091,0.622092173,0.71509434,0.475757576,21901.14844,30.8
66,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,6,250,Mean,10,0.373536221,0.345795334,0.745100827,0.669934162,0.703602058,0.46969697,21785.08368,45
67,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,8,250,Mean,10,0.396667716,0.370958864,0.761357708,0.694952451,0.701715266,0.465656566,21730.27715,55.8
68,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,10,250,Mean,10,0.450121775,0.42315099,0.792109526,0.727651792,0.722469983,0.452525253,21654.378,66.4
69,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,12,250,Mean,10,0.460418264,0.432077105,0.798991858,0.721653255,0.738765009,0.441414141,21618.93536,68.9
70,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,15,250,Mean,10,0.488327283,0.464675644,0.817588941,0.746817849,0.741509434,0.433333333,21548.53849,82.3
71,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,20,250,Mean,10,0.495064501,0.47142774,0.827389421,0.737088515,0.757975986,0.417171717,21486.69446,87.8
72,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,25,250,Mean,10,0.514641996,0.498888641,0.837702723,0.767300658,0.747341338,0.42020202,21458.27218,95.6
73,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,3,250,SD,10,0.074032042,0.081335161,0.043577056,0.169179999,0.149381287,0.035136418,70.99617561,9.874771446
74,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,6,250,SD,10,0.060399039,0.070411543,0.038718071,0.093147885,0.074454746,0.031314941,112.2743385,12.32882801
75,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,8,250,SD,10,0.061588634,0.061628134,0.039952562,0.104283286,0.090577479,0.024947655,101.1909113,8.766096306
76,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,10,250,SD,10,0.026563275,0.027519874,0.014488764,0.055526689,0.043218044,0.020646074,77.68655873,14.14370688
77,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,12,250,SD,10,0.054270173,0.062066364,0.029306854,0.06595693,0.030588106,0.0172014,98.59887593,14.03527303
78,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,15,250,SD,10,0.050257217,0.047685532,0.023647563,0.041304508,0.038346413,0.01871642,57.64346628,7.832269431
79,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,20,250,SD,10,0.024967708,0.020235228,0.014467692,0.033779424,0.050634734,0.024303141,60.83821244,5.513619501
80,MaxentAll_RSFSAAUC,Random10FinalTest,Random10,10_AllVariables,25,250,SD,10,0.019717032,0.020888848,0.011073781,0.033911623,0.027061003,0.015935568,43.20286229,9.299940263
81,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,3,250,Mean,10,0.341336629,0.312081519,0.725338362,0.594035858,0.747300771,0.465656566,21901.14844,30.8
82,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,6,250,Mean,10,0.385104836,0.363011439,0.759953734,0.682619832,0.702485004,0.476767677,21785.08368,45
83,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,8,250,Mean,10,0.432341175,0.402492715,0.78630592,0.683497988,0.748843188,0.456565657,21730.27715,55.8
84,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,10,250,Mean,10,0.476155848,0.454975146,0.814142486,0.752762532,0.723393316,0.462626263,21654.378,66.4
85,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,12,250,Mean,10,0.495317349,0.471056547,0.824698667,0.738419319,0.756898029,0.444444444,21618.93536,68.9
86,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,15,250,Mean,10,0.51867812,0.505674857,0.841427336,0.773948042,0.744730077,0.443434343,21548.53849,82.3
87,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,20,250,Mean,10,0.545554524,0.53132781,0.855361444,0.792169777,0.753384747,0.437373737,21486.69446,87.8
88,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,25,250,Mean,10,0.563250832,0.554973281,0.865429824,0.813465057,0.749785775,0.438383838,21458.27218,95.6
89,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,3,250,SD,10,0.078503724,0.082517158,0.045218009,0.147356166,0.109672868,0.023544961,70.99617561,9.874771446
90,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,6,250,SD,10,0.066888361,0.073128519,0.040296923,0.083147641,0.040788106,0.014906359,112.2743385,12.32882801
91,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,8,250,SD,10,0.051065437,0.057668641,0.037407577,0.054794684,0.046239775,0.018927231,101.1909113,8.766096306
92,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,10,250,SD,10,0.01990133,0.023767674,0.013407085,0.03906498,0.041037375,0.017688789,77.68655873,14.14370688
93,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,12,250,SD,10,0.049202207,0.059000891,0.029057075,0.048018548,0.045932807,0.017816507,98.59887593,14.03527303
94,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,15,250,SD,10,0.033123185,0.033690413,0.018491659,0.034138656,0.03817115,0.019890984,57.64346628,7.832269431
95,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,20,250,SD,10,0.020762621,0.01969457,0.012044745,0.043397997,0.045743696,0.023832106,60.83821244,5.513619501
96,MaxentAll_RSFSAAUC,Random10FinalTrain,Random10,10_AllVariables,25,250,SD,10,0.022979645,0.02114644,0.011976174,0.030724225,0.03186565,0.017299977,43.20286229,9.299940263
1,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,3,250,Mean,10,0.010336597,0.021387418,0.009854259,0.000241488,0.01009511,-0.002020202,0,0
2,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,6,250,Mean,10,0.027554232,0.038964862,0.019634333,0.040558687,-0.013004455,0.01010101,0,0
3,MaxentAll_RSFSAAUC,Random10WrapperDiffTestTrain,Random10,10_AllVariables,8,250,Mean,10,0.028295892,0.035012771,0.019707662,0.037604681,-0.009308788,0.012121212,0,0
